y,x,z,d
2.369793843,-7.73,29.93495,474.5
2.369793843,-8.27,30.02845,475.5
2.276917346,-8.83,30.1265,476.5
2.276917346,-9.02,30.2291,477.5
2.273026291,-8.92,30.3319,478.5
2.273026291,-8.72,30.4349,479.5
2.324830702,-8.38,30.5353,480.5
2.32585372,-7.99,30.63305,481.5
2.357041279,-8.06,30.72925,482.5
2.358097803,-8.47,30.8239,483.5
2.315670333,-8.59,30.92055,484.5
2.316684017,-8.395,31.0192,485.5
2.357041279,-8.18,31.11585,486.5
2.357041279,-7.995,31.21055,487.5
2.395797475,-7.795,31.30345,488.5
2.395797475,-7.59,31.39455,489.5
2.400197922,-7.825,31.48545,490.5
2.399095993,-8.49,31.5762,491.5
2.33407576,-8.645,31.67005,492.5
2.33407576,-8.295,31.76695,493.5
2.400197922,-7.945,31.86075,494.5
2.401301066,-7.595,31.9514,495.5
2.467459736,-7.245,32.0391,496.5
2.468639677,-6.89,32.12385,497.5
2.518256629,-6.71,32.2065,498.5
2.519498095,-6.845,32.28705,499.5
2.491327218,-7.115,32.3687,500.5
2.491327218,-7.385,32.4515,501.5
2.453407983,-7.655,32.5359,502.5
2.453407983,-7.92,32.6219,503.5
2.415753791,-8.2,32.70955,504.5
2.414634597,-8.36,32.7989,505.5
2.412399959,-8.35,32.8884,506.5
2.412399959,-8.455,32.978,507.5
2.405725852,-8.505,33.0679,508.5
2.406835114,-8.365,33.15805,509.5
2.446455463,-8.125,33.2464,510.5
2.446455463,-7.545,33.333,511.5
2.540842282,-7.08,33.4157,512.5
2.540842282,-7.32,33.4945,513.5
2.487710577,-7.725,33.57545,514.5
2.487710577,-7.79,33.65855,515.5
2.494956986,-7.695,33.74135,516.5
2.493745598,-7.58,33.8239,517.5
2.518256629,-7.465,33.9055,518.5
2.517016704,-7.355,33.98615,519.5
2.523231764,-7.465,34.0666,520.5
2.523231764,-7.79,34.1468,521.5
2.482908647,-7.975,34.22865,522.5
2.48410697,-8.025,34.3121,523.5
2.488914671,-7.95,34.3953,524.5
2.490120217,-7.75,34.47825,525.5
2.513306124,-7.71,34.5602,526.5
2.513306124,-7.9,34.6412,527.5
2.478129666,-8.115,34.72365,528.5
2.47693848,-8.065,34.8076,529.5
2.514541455,-7.665,34.89005,530.5
2.513306124,-7.27,34.971,531.5
2.570464538,-6.955,35.04975,532.5
2.571772583,-6.755,35.1262,533.5
2.582298996,-6.765,35.2022,534.5
2.583622623,-6.94,35.27775,535.5
2.540842282,-7.18,35.3549,536.5
2.542112124,-6.94,35.43365,537.5
2.566550639,-6.84,35.5114,538.5
2.566550639,-7.28,35.5882,539.5
2.528231775,-7.24,35.6665,540.5
2.526979426,-6.805,35.74635,541.5
2.574393816,-6.665,35.8244,542.5
2.573082341,-7.09,35.90065,543.5
2.498599977,-7.47,35.9799,544.5
2.498599977,-7.38,36.0621,545.5
2.494956986,-7.44,36.14445,546.5
2.494956986,-7.595,36.22695,547.5
2.472187877,-7.6,36.3104,548.5
2.473373414,-7.47,36.39475,549.5
2.498599977,-7.205,36.478,550.5
2.499817263,-7.255,36.56015,551.5
2.466281186,-7.49,36.64365,552.5
2.466281186,-7.425,36.72855,553.5
2.481711759,-7.215,36.8128,554.5
2.480516301,-7.145,36.89645,555.5
2.467459736,-7.265,36.9807,556.5
2.467459736,-7.265,37.0655,557.5
2.496169842,-6.85,37.1491,558.5
2.494956986,-6.705,37.23155,559.5
2.490120217,-6.82,37.31425,560.5
2.490120217,-6.505,37.39715,561.5
2.517016704,-6.42,37.47895,562.5
2.517016704,-6.335,37.55965,563.5
2.542112124,-6.045,37.63935,564.5
2.542112124,-6.08,37.71805,565.5
2.538307427,-6.01,37.7969,566.5
2.539574051,-5.785,37.87585,567.5
2.583622623,-5.42,37.95305,568.5
2.583622623,-4.98,38.02855,569.5
2.620039324,-4.935,38.1027,570.5
2.61866664,-5.285,38.17555,571.5
2.54338358,-5.75,38.2513,572.5
2.542112124,-5.94,38.32995,573.5
2.528231775,-5.86,38.4092,574.5
2.526979426,-5.605,38.48905,575.5
2.567853571,-5.315,38.56735,576.5
2.567853571,-5.305,38.64405,577.5
2.548485631,-5.46,38.7215,578.5
2.548485631,-5.6,38.7997,579.5
2.53577898,-5.53,38.8784,580.5
2.53451715,-5.515,38.95765,581.5
2.514541455,-5.67,39.03775,582.5
2.515778313,-5.745,39.1186,583.5
2.47693848,-5.995,39.201,584.5
2.47693848,-6.31,39.285,585.5
2.417995945,-6.55,39.37155,586.5
2.419118909,-6.865,39.4606,587.5
2.359155444,-7.125,39.55235,588.5
2.359155444,-7.46,39.64685,589.5
2.318714475,-7.5,39.7433,590.5
2.317698731,-6.985,39.84175,591.5
2.370863934,-6.82,39.9377,592.5
2.370863934,-6.81,40.0311,593.5
